date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:13	47607/47607	---M--	200	added ('OK')	text/html	etag:%2228c5eac-b9f7-518982e73f440%22	http://avenxo.kaijuthemes.com/index.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/index.html	(from )
09:59:13	31/31	---M--	200	added ('OK')	text/plain	etag:%2228c5eb9-1f-51780fa59dfc0%22	http://avenxo.kaijuthemes.com/robots.txt		(from )
09:59:14	23739/23739	---M--	200	added ('OK')	text/css	etag:%2266e226e-5cbb-5130922eacd40%22	http://avenxo.kaijuthemes.com/assets/fonts/font-awesome/css/font-awesome.min.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/fonts/font-awesome/css/font-awesome.min.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:14	16430/16430	---M--	200	added ('OK')	text/css	etag:%2266e229c-402e-516451c2fc340%22	http://avenxo.kaijuthemes.com/assets/fonts/themify-icons/themify-icons.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/fonts/themify-icons/themify-icons.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:16	54090/54090	---M--	200	added ('OK')	text/css	etag:%2266e21ca-d34a-5189655e84640%22	http://avenxo.kaijuthemes.com/assets/css/styles.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/css/styles.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:16	1399/1399	---M--	200	added ('OK')	text/css	etag:%2266e26b0-577-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/plugins/codeprettifier/prettify.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/plugins/codeprettifier/prettify.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:16	1501/1501	---M--	200	added ('OK')	text/css	etag:%2268c18fe-5dd-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/plugins/iCheck/skins/minimal/blue.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/plugins/iCheck/skins/minimal/blue.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:17	24259/24259	---M--	200	added ('OK')	text/css	etag:%2266e27e9-5ec3-5134562fd6c80%22	http://avenxo.kaijuthemes.com/assets/plugins/fullcalendar/fullcalendar.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/plugins/fullcalendar/fullcalendar.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:17	6578/6578	---M--	200	added ('OK')	text/css	etag:%2266e2834-19b2-516451c2fc340%22	http://avenxo.kaijuthemes.com/assets/plugins/jvectormap/jquery-jvectormap-2.0.2.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/plugins/jvectormap/jquery-jvectormap-2.0.2.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:18	575/575	---M--	200	added ('OK')	text/css	etag:%2266e2861-23f-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/plugins/switchery/switchery.css	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/plugins/switchery/switchery.css	(from http://avenxo.kaijuthemes.com/index.html)
09:59:18	18475/18475	---M--	200	added ('OK')	image/png	etag:%2266e21fd-482b-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_01.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_01.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:19	8121/8121	---M--	200	added ('OK')	image/png	etag:%2266e2205-1fb9-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_09.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_09.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:19	12120/12120	---M--	200	added ('OK')	image/png	etag:%2266e21fe-2f58-5174e12643bc0%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_02.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_02.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:21	12665/12665	---M--	200	added ('OK')	image/png	etag:%2266e21ff-3179-5174e12643bc0%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_03.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_03.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:21	4100/4100	---M--	200	added ('OK')	image/png	etag:%2266e2202-1004-5127f8f11ac80%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_06.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_06.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:22	42941/42941	---M--	200	added ('OK')	text/html	etag:%2228c5eaf-a7bd-518982e73f440%22	http://avenxo.kaijuthemes.com/layout-grids.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/layout-grids.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:23	27639/27639	---M--	200	added ('OK')	text/html	etag:%2228c5eb2-6bf7-518982e73f440%22	http://avenxo.kaijuthemes.com/layout-static-leftbar.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/layout-static-leftbar.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:23	17451/17451	---M--	200	added ('OK')	image/png	etag:%2266e2200-442b-5174e12643bc0%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_04.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_04.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:24	14770/14770	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202015%2000:49:19%20GMT	http://avenxo.kaijuthemes.com/angular/app/	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/angular/app/index.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:25	30746/30746	---M--	200	added ('OK')	text/html	etag:%2228c5eb1-781a-518982e73f440%22	http://avenxo.kaijuthemes.com/layout-sidebar-scroll.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/layout-sidebar-scroll.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:25	21415/21415	---M--	200	added ('OK')	text/html	etag:%2228c5eb0-53a7-518982e64b200%22	http://avenxo.kaijuthemes.com/layout-horizontal.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/layout-horizontal.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:26	6691/6691	---M--	200	added ('OK')	image/png	etag:%2266e220b-1a23-51620488518c0%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_15.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_15.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:26	17660/17660	---M--	200	added ('OK')	image/png	etag:%2266e2201-44fc-5174e12643bc0%22	http://avenxo.kaijuthemes.com/assets/demo/avatar/avatar_05.png	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/assets/demo/avatar/avatar_05.png	(from http://avenxo.kaijuthemes.com/index.html)
09:59:26	32683/32683	---M--	200	added ('OK')	text/html	etag:%2228c5eae-7fab-518982e73f440%22	http://avenxo.kaijuthemes.com/layout-boxed.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/layout-boxed.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:27	42097/42097	---M--	200	added ('OK')	text/html	etag:%2228c5ecf-a471-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-typography.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-typography.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:28	99253/99253	---M--	200	added ('OK')	text/html	etag:%2228c5ec1-183b5-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-buttons.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-buttons.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:29	32574/32574	---M--	200	added ('OK')	text/html	etag:%2228c5ec8-7f3e-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-modals.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-modals.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:30	31883/31883	---M--	200	added ('OK')	text/html	etag:%2228c5ecb-7c8b-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-progress.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-progress.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:32	33716/33716	---M--	200	added ('OK')	text/html	etag:%2228c5ec9-83b4-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-paginations.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-paginations.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:32	28545/28545	---M--	200	added ('OK')	text/html	etag:%2228c5ec0-6f81-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-breadcrumbs.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-breadcrumbs.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:33	31351/31351	---M--	200	added ('OK')	text/html	etag:%2228c5ec7-7a77-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-labelsbadges.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-labelsbadges.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:34	30988/30988	---M--	200	added ('OK')	text/html	etag:%2228c5ebf-790c-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-alerts.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-alerts.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:35	52972/52972	---M--	200	added ('OK')	text/html	etag:%2228c5ecd-ceec-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-tabs.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-tabs.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:37	28783/28783	---M--	200	added ('OK')	text/html	etag:%2228c5ed0-706f-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-wells.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-wells.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:39	90929/90929	---M--	200	added ('OK')	text/html	etag:%2228c5ec4-16331-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-icons-fontawesome.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-icons-fontawesome.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:39	81325/81325	---M--	200	added ('OK')	text/html	etag:%2228c5ec5-13dad-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-icons-themify.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-icons-themify.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:41	39430/39430	---M--	200	added ('OK')	text/html	etag:%2228c5ec3-9a06-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-helpers.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-helpers.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:42	31285/31285	---M--	200	added ('OK')	text/html	etag:%2228c5ec6-7a35-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-imagecarousel.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-imagecarousel.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:43	34827/34827	---M--	200	added ('OK')	text/html	etag:%2228c5ece-880b-518982e73f440%22	http://avenxo.kaijuthemes.com/ui-tiles.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/ui-tiles.html	(from http://avenxo.kaijuthemes.com/index.html)
09:59:44	28635/28635	---M--	200	added ('OK')	text/html	etag:%2228c5e96-6fdb-518982e73f440%22	http://avenxo.kaijuthemes.com/custom-skylo.html	G:/Website%20Templates/Admin/avenxo/http___avenxo.kaijuthemes.com_index.html/avenxo.kaijuthemes.com/custom-skylo.html	(from http://avenxo.kaijuthemes.com/index.html)
